LAMAX Sentinel2,"
LAMAX Sentinel2,"
Vyladěný outdoorový, 20 W přenosný Bluetooth 5.0 reproduktor s 24 h výdrží, LAMAX Sentinel2 s IP67 certifikací je vhodný nejen pro cestovatele, ale také pro běžný poslech doma i venku. Má funkci TWS, audio vstup, microSD slot, handsfree mikrofon.","
1 217 Kč"
Niceboy RAZE 3 Titan,"
Může se pochlubit extra hudebním výkonem 50 W a palec nahoru si zaslouží i za 15h výdrž na nabití baterie – moderní Niceboy RAZE 3 budete chválit i za díky jeho měničům. Má pro handsfree, je odolný a nechybí mu , microSD slot, USB i .","
1 990 Kč"
LAMAX Storm1,"
Parťák-reprák do deště i do sněhu? Tak to je 40W Bluetooth 5.0 reproduktor s 15 h výdrží LAMAX Storm1 z rodiny outdoor zařízení s krytím a pogumovaným tělem. Zahraje podmínkách skvělým zvukem a . Nabízí 3 režimy zvuku včetně , funkci TWS a .","
1 820 Kč"
Niceboy RAZE 3 Guru,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
Niceboy RAZE 3 Guru je a při dočasném ponoření. Vykoupete-li ho nechtěně , žádné neštěstí se nestane. S výdrží ho lze využít také jako pro váš telefon.","
890 Kč"
JBL Flip 5,"
Dunivé basy, 360° rozptyl zvuku do všech úhlů, moderní designové provedení – JBL Flip 5 zaujme každého na první dobrou. Za vyzdvihnutí stojí i  díky IPX7, vestavěné ovládání, , RMS výkon a výdrž jediné nabití.","
2 590 Kč"
JBL Tuner 2,"
Fandům rozhlasového vysílání je přímo určený JBL Tuner 2 vybavený tunerem pro snadné a rychlé ladění stanic. Do předvoleb jich lze uložit  a reproduktor umí i  z mobilu. Na nabití a je dle normy IPX7.","
2 790 Kč"
MARSHALL Stanmore II,"
Rozvibruje vám všechny vnitřnosti a zasáhne srdce jako šíp – bezdrátový Bluetooth reproduktor Marshall Stanmore II BT si okamžitě zamilujete po zvukové i vizuální stránce. Přístroj má výkon úžasných a umí z každého songu vytáhnout . Stvořen pro poslech .","
7 990 Kč"
JBL Charge 5,"
Perfektně čistý a bohatý zvuk JBL Original Pro Sound vám pustí do uší JBL Charge 5, který je osazený wooferem a tweeterem. Hudební RMS výkon je celkem a lze ho navýšit skrze spárování s další jednotkou. Na nabití hraje , má powerbanka funkci a je odolný vodě i prachu dle normy .","
4 790 Kč"
SENCOR SSS 3800 bluetooth reproduktor,"
Reproduktor s technologií Bluetooth a maximálním výkonem 60 W perfektně ozvučí jakoukoliv párty. Sencor SSS 3800 nabízí a disponuje a blikajícím . Nechybí ani FM rádio, nebo tlačítko pro maximální zvýraznění basů.","
2 799 Kč"
Niceboy RAZE 3 Radion,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
bezdrátový reproduktor lehce ozvučí celou zahradní párty . Niceboy RAZE 3 Radion přehrává bezdrátově přes ale poradí si také s paměťovými médii , a propojit ho můžete také přes . Na jedno nabití zvládne přehrávat .","
1 249 Kč"
GoGEN BPS 626 bluetooth reproduktor,"
Reproduktor Gogen BPS626 je vhodný pro ozvučení různých akcí jako jsou rodinné oslavy, svatby, zahradní párty či firemní prezentace. Streamování hudby díky , celkový výkon 40 W, možnost nebo zesilovač ke kytaře, digitální FM tuner, , 2× USB, AUX vstup, , nabíjecí baterie s dobou provozu až 6,5 h.","
2 999 Kč"
JBL Flip Essential,"
Trsat na muziku i pod širým nebem? Díky přenosnému Bluetooth 4.1 reproduktoru JBL Flip Essential žádný problém. Přístroj má 2 pasivní zářiče, hraje výkonem , exceluje svým JBL zvukem a navíc vydrží hrát v kuse díky Li-Ion baterii. certifikace zaručuje .","
1 990 Kč"
LAMAX Sentinel2,"
Vyladěný outdoorový, 20 W přenosný Bluetooth 5.0 reproduktor s 24 h výdrží, LAMAX Sentinel2 s IP67 certifikací je vhodný nejen pro cestovatele, ale také pro běžný poslech doma i venku. Má funkci TWS, audio vstup, microSD slot, handsfree mikrofon.","
1 217 Kč"
Niceboy RAZE 3 Titan,"
Může se pochlubit extra hudebním výkonem 50 W a palec nahoru si zaslouží i za 15h výdrž na nabití baterie – moderní Niceboy RAZE 3 budete chválit i za díky jeho měničům. Má pro handsfree, je odolný a nechybí mu , microSD slot, USB i .","
1 990 Kč"
LAMAX Storm1,"
Parťák-reprák do deště i do sněhu? Tak to je 40W Bluetooth 5.0 reproduktor s 15 h výdrží LAMAX Storm1 z rodiny outdoor zařízení s krytím a pogumovaným tělem. Zahraje podmínkách skvělým zvukem a . Nabízí 3 režimy zvuku včetně , funkci TWS a .","
1 820 Kč"
Niceboy RAZE 3 Guru,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
Niceboy RAZE 3 Guru je a při dočasném ponoření. Vykoupete-li ho nechtěně , žádné neštěstí se nestane. S výdrží ho lze využít také jako pro váš telefon.","
890 Kč"
JBL Flip 5,"
Dunivé basy, 360° rozptyl zvuku do všech úhlů, moderní designové provedení – JBL Flip 5 zaujme každého na první dobrou. Za vyzdvihnutí stojí i  díky IPX7, vestavěné ovládání, , RMS výkon a výdrž jediné nabití.","
2 590 Kč"
JBL Tuner 2,"
Fandům rozhlasového vysílání je přímo určený JBL Tuner 2 vybavený tunerem pro snadné a rychlé ladění stanic. Do předvoleb jich lze uložit  a reproduktor umí i  z mobilu. Na nabití a je dle normy IPX7.","
2 790 Kč"
MARSHALL Stanmore II,"
Rozvibruje vám všechny vnitřnosti a zasáhne srdce jako šíp – bezdrátový Bluetooth reproduktor Marshall Stanmore II BT si okamžitě zamilujete po zvukové i vizuální stránce. Přístroj má výkon úžasných a umí z každého songu vytáhnout . Stvořen pro poslech .","
7 990 Kč"
JBL Charge 5,"
Perfektně čistý a bohatý zvuk JBL Original Pro Sound vám pustí do uší JBL Charge 5, který je osazený wooferem a tweeterem. Hudební RMS výkon je celkem a lze ho navýšit skrze spárování s další jednotkou. Na nabití hraje , má powerbanka funkci a je odolný vodě i prachu dle normy .","
4 790 Kč"
SENCOR SSS 3800 bluetooth reproduktor,"
Reproduktor s technologií Bluetooth a maximálním výkonem 60 W perfektně ozvučí jakoukoliv párty. Sencor SSS 3800 nabízí a disponuje a blikajícím . Nechybí ani FM rádio, nebo tlačítko pro maximální zvýraznění basů.","
2 799 Kč"
Niceboy RAZE 3 Radion,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
bezdrátový reproduktor lehce ozvučí celou zahradní párty . Niceboy RAZE 3 Radion přehrává bezdrátově přes ale poradí si také s paměťovými médii , a propojit ho můžete také přes . Na jedno nabití zvládne přehrávat .","
1 249 Kč"
GoGEN BPS 626 bluetooth reproduktor,"
Reproduktor Gogen BPS626 je vhodný pro ozvučení různých akcí jako jsou rodinné oslavy, svatby, zahradní párty či firemní prezentace. Streamování hudby díky , celkový výkon 40 W, možnost nebo zesilovač ke kytaře, digitální FM tuner, , 2× USB, AUX vstup, , nabíjecí baterie s dobou provozu až 6,5 h.","
2 999 Kč"
JBL Flip Essential,"
Trsat na muziku i pod širým nebem? Díky přenosnému Bluetooth 4.1 reproduktoru JBL Flip Essential žádný problém. Přístroj má 2 pasivní zářiče, hraje výkonem , exceluje svým JBL zvukem a navíc vydrží hrát v kuse díky Li-Ion baterii. certifikace zaručuje .","
1 990 Kč"
LAMAX Sentinel2,"
Vyladěný outdoorový, 20 W přenosný Bluetooth 5.0 reproduktor s 24 h výdrží, LAMAX Sentinel2 s IP67 certifikací je vhodný nejen pro cestovatele, ale také pro běžný poslech doma i venku. Má funkci TWS, audio vstup, microSD slot, handsfree mikrofon.","
1 217 Kč"
Niceboy RAZE 3 Titan,"
Může se pochlubit extra hudebním výkonem 50 W a palec nahoru si zaslouží i za 15h výdrž na nabití baterie – moderní Niceboy RAZE 3 budete chválit i za díky jeho měničům. Má pro handsfree, je odolný a nechybí mu , microSD slot, USB i .","
1 990 Kč"
LAMAX Storm1,"
Parťák-reprák do deště i do sněhu? Tak to je 40W Bluetooth 5.0 reproduktor s 15 h výdrží LAMAX Storm1 z rodiny outdoor zařízení s krytím a pogumovaným tělem. Zahraje podmínkách skvělým zvukem a . Nabízí 3 režimy zvuku včetně , funkci TWS a .","
1 820 Kč"
Niceboy RAZE 3 Guru,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
Niceboy RAZE 3 Guru je a při dočasném ponoření. Vykoupete-li ho nechtěně , žádné neštěstí se nestane. S výdrží ho lze využít také jako pro váš telefon.","
890 Kč"
JBL Flip 5,"
Dunivé basy, 360° rozptyl zvuku do všech úhlů, moderní designové provedení – JBL Flip 5 zaujme každého na první dobrou. Za vyzdvihnutí stojí i  díky IPX7, vestavěné ovládání, , RMS výkon a výdrž jediné nabití.","
2 590 Kč"
JBL Tuner 2,"
Fandům rozhlasového vysílání je přímo určený JBL Tuner 2 vybavený tunerem pro snadné a rychlé ladění stanic. Do předvoleb jich lze uložit  a reproduktor umí i  z mobilu. Na nabití a je dle normy IPX7.","
2 790 Kč"
MARSHALL Stanmore II,"
Rozvibruje vám všechny vnitřnosti a zasáhne srdce jako šíp – bezdrátový Bluetooth reproduktor Marshall Stanmore II BT si okamžitě zamilujete po zvukové i vizuální stránce. Přístroj má výkon úžasných a umí z každého songu vytáhnout . Stvořen pro poslech .","
7 990 Kč"
JBL Charge 5,"
Perfektně čistý a bohatý zvuk JBL Original Pro Sound vám pustí do uší JBL Charge 5, který je osazený wooferem a tweeterem. Hudební RMS výkon je celkem a lze ho navýšit skrze spárování s další jednotkou. Na nabití hraje , má powerbanka funkci a je odolný vodě i prachu dle normy .","
4 790 Kč"
SENCOR SSS 3800 bluetooth reproduktor,"
Reproduktor s technologií Bluetooth a maximálním výkonem 60 W perfektně ozvučí jakoukoliv párty. Sencor SSS 3800 nabízí a disponuje a blikajícím . Nechybí ani FM rádio, nebo tlačítko pro maximální zvýraznění basů.","
2 799 Kč"
Niceboy RAZE 3 Radion,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
bezdrátový reproduktor lehce ozvučí celou zahradní párty . Niceboy RAZE 3 Radion přehrává bezdrátově přes ale poradí si také s paměťovými médii , a propojit ho můžete také přes . Na jedno nabití zvládne přehrávat .","
1 249 Kč"
GoGEN BPS 626 bluetooth reproduktor,"
Reproduktor Gogen BPS626 je vhodný pro ozvučení různých akcí jako jsou rodinné oslavy, svatby, zahradní párty či firemní prezentace. Streamování hudby díky , celkový výkon 40 W, možnost nebo zesilovač ke kytaře, digitální FM tuner, , 2× USB, AUX vstup, , nabíjecí baterie s dobou provozu až 6,5 h.","
2 999 Kč"
JBL Flip Essential,"
Trsat na muziku i pod širým nebem? Díky přenosnému Bluetooth 4.1 reproduktoru JBL Flip Essential žádný problém. Přístroj má 2 pasivní zářiče, hraje výkonem , exceluje svým JBL zvukem a navíc vydrží hrát v kuse díky Li-Ion baterii. certifikace zaručuje .","
1 990 Kč"
LAMAX Sentinel2,"
Vyladěný outdoorový, 20 W přenosný Bluetooth 5.0 reproduktor s 24 h výdrží, LAMAX Sentinel2 s IP67 certifikací je vhodný nejen pro cestovatele, ale také pro běžný poslech doma i venku. Má funkci TWS, audio vstup, microSD slot, handsfree mikrofon.","
1 217 Kč"
Niceboy RAZE 3 Titan,"
Může se pochlubit extra hudebním výkonem 50 W a palec nahoru si zaslouží i za 15h výdrž na nabití baterie – moderní Niceboy RAZE 3 budete chválit i za díky jeho měničům. Má pro handsfree, je odolný a nechybí mu , microSD slot, USB i .","
1 990 Kč"
LAMAX Storm1,"
Parťák-reprák do deště i do sněhu? Tak to je 40W Bluetooth 5.0 reproduktor s 15 h výdrží LAMAX Storm1 z rodiny outdoor zařízení s krytím a pogumovaným tělem. Zahraje podmínkách skvělým zvukem a . Nabízí 3 režimy zvuku včetně , funkci TWS a .","
1 820 Kč"
Niceboy RAZE 3 Guru,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
Niceboy RAZE 3 Guru je a při dočasném ponoření. Vykoupete-li ho nechtěně , žádné neštěstí se nestane. S výdrží ho lze využít také jako pro váš telefon.","
890 Kč"
JBL Flip 5,"
Dunivé basy, 360° rozptyl zvuku do všech úhlů, moderní designové provedení – JBL Flip 5 zaujme každého na první dobrou. Za vyzdvihnutí stojí i  díky IPX7, vestavěné ovládání, , RMS výkon a výdrž jediné nabití.","
2 590 Kč"
JBL Tuner 2,"
Fandům rozhlasového vysílání je přímo určený JBL Tuner 2 vybavený tunerem pro snadné a rychlé ladění stanic. Do předvoleb jich lze uložit  a reproduktor umí i  z mobilu. Na nabití a je dle normy IPX7.","
2 790 Kč"
MARSHALL Stanmore II,"
Rozvibruje vám všechny vnitřnosti a zasáhne srdce jako šíp – bezdrátový Bluetooth reproduktor Marshall Stanmore II BT si okamžitě zamilujete po zvukové i vizuální stránce. Přístroj má výkon úžasných a umí z každého songu vytáhnout . Stvořen pro poslech .","
7 990 Kč"
JBL Charge 5,"
Perfektně čistý a bohatý zvuk JBL Original Pro Sound vám pustí do uší JBL Charge 5, který je osazený wooferem a tweeterem. Hudební RMS výkon je celkem a lze ho navýšit skrze spárování s další jednotkou. Na nabití hraje , má powerbanka funkci a je odolný vodě i prachu dle normy .","
4 790 Kč"
SENCOR SSS 3800 bluetooth reproduktor,"
Reproduktor s technologií Bluetooth a maximálním výkonem 60 W perfektně ozvučí jakoukoliv párty. Sencor SSS 3800 nabízí a disponuje a blikajícím . Nechybí ani FM rádio, nebo tlačítko pro maximální zvýraznění basů.","
2 799 Kč"
Niceboy RAZE 3 Radion,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
bezdrátový reproduktor lehce ozvučí celou zahradní párty . Niceboy RAZE 3 Radion přehrává bezdrátově přes ale poradí si také s paměťovými médii , a propojit ho můžete také přes . Na jedno nabití zvládne přehrávat .","
1 249 Kč"
GoGEN BPS 626 bluetooth reproduktor,"
Reproduktor Gogen BPS626 je vhodný pro ozvučení různých akcí jako jsou rodinné oslavy, svatby, zahradní párty či firemní prezentace. Streamování hudby díky , celkový výkon 40 W, možnost nebo zesilovač ke kytaře, digitální FM tuner, , 2× USB, AUX vstup, , nabíjecí baterie s dobou provozu až 6,5 h.","
2 999 Kč"
JBL Flip Essential,"
Trsat na muziku i pod širým nebem? Díky přenosnému Bluetooth 4.1 reproduktoru JBL Flip Essential žádný problém. Přístroj má 2 pasivní zářiče, hraje výkonem , exceluje svým JBL zvukem a navíc vydrží hrát v kuse díky Li-Ion baterii. certifikace zaručuje .","
1 990 Kč"
LAMAX Sentinel2,"
Vyladěný outdoorový, 20 W přenosný Bluetooth 5.0 reproduktor s 24 h výdrží, LAMAX Sentinel2 s IP67 certifikací je vhodný nejen pro cestovatele, ale také pro běžný poslech doma i venku. Má funkci TWS, audio vstup, microSD slot, handsfree mikrofon.","
1 217 Kč"
Niceboy RAZE 3 Titan,"
Může se pochlubit extra hudebním výkonem 50 W a palec nahoru si zaslouží i za 15h výdrž na nabití baterie – moderní Niceboy RAZE 3 budete chválit i za díky jeho měničům. Má pro handsfree, je odolný a nechybí mu , microSD slot, USB i .","
1 990 Kč"
LAMAX Storm1,"
Parťák-reprák do deště i do sněhu? Tak to je 40W Bluetooth 5.0 reproduktor s 15 h výdrží LAMAX Storm1 z rodiny outdoor zařízení s krytím a pogumovaným tělem. Zahraje podmínkách skvělým zvukem a . Nabízí 3 režimy zvuku včetně , funkci TWS a .","
1 820 Kč"
Niceboy RAZE 3 Guru,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
Niceboy RAZE 3 Guru je a při dočasném ponoření. Vykoupete-li ho nechtěně , žádné neštěstí se nestane. S výdrží ho lze využít také jako pro váš telefon.","
890 Kč"
JBL Flip 5,"
Dunivé basy, 360° rozptyl zvuku do všech úhlů, moderní designové provedení – JBL Flip 5 zaujme každého na první dobrou. Za vyzdvihnutí stojí i  díky IPX7, vestavěné ovládání, , RMS výkon a výdrž jediné nabití.","
2 590 Kč"
JBL Tuner 2,"
Fandům rozhlasového vysílání je přímo určený JBL Tuner 2 vybavený tunerem pro snadné a rychlé ladění stanic. Do předvoleb jich lze uložit  a reproduktor umí i  z mobilu. Na nabití a je dle normy IPX7.","
2 790 Kč"
MARSHALL Stanmore II,"
Rozvibruje vám všechny vnitřnosti a zasáhne srdce jako šíp – bezdrátový Bluetooth reproduktor Marshall Stanmore II BT si okamžitě zamilujete po zvukové i vizuální stránce. Přístroj má výkon úžasných a umí z každého songu vytáhnout . Stvořen pro poslech .","
7 990 Kč"
JBL Charge 5,"
Perfektně čistý a bohatý zvuk JBL Original Pro Sound vám pustí do uší JBL Charge 5, který je osazený wooferem a tweeterem. Hudební RMS výkon je celkem a lze ho navýšit skrze spárování s další jednotkou. Na nabití hraje , má powerbanka funkci a je odolný vodě i prachu dle normy .","
4 790 Kč"
SENCOR SSS 3800 bluetooth reproduktor,"
Reproduktor s technologií Bluetooth a maximálním výkonem 60 W perfektně ozvučí jakoukoliv párty. Sencor SSS 3800 nabízí a disponuje a blikajícím . Nechybí ani FM rádio, nebo tlačítko pro maximální zvýraznění basů.","
2 799 Kč"
Niceboy RAZE 3 Radion,"
VÍKENDOMÁNIE: Získejte dodatečnou slevu 20 % z uvedené ceny produktu po zadání kódu v košíku (platí od 10. 6. do 13. 6. 2021 nebo do vyprodání zásob)!
bezdrátový reproduktor lehce ozvučí celou zahradní párty . Niceboy RAZE 3 Radion přehrává bezdrátově přes ale poradí si také s paměťovými médii , a propojit ho můžete také přes . Na jedno nabití zvládne přehrávat .","
1 249 Kč"
GoGEN BPS 626 bluetooth reproduktor,"
Reproduktor Gogen BPS626 je vhodný pro ozvučení různých akcí jako jsou rodinné oslavy, svatby, zahradní párty či firemní prezentace. Streamování hudby díky , celkový výkon 40 W, možnost nebo zesilovač ke kytaře, digitální FM tuner, , 2× USB, AUX vstup, , nabíjecí baterie s dobou provozu až 6,5 h.","
2 999 Kč"
JBL Flip Essential,"
Trsat na muziku i pod širým nebem? Díky přenosnému Bluetooth 4.1 reproduktoru JBL Flip Essential žádný problém. Přístroj má 2 pasivní zářiče, hraje výkonem , exceluje svým JBL zvukem a navíc vydrží hrát v kuse díky Li-Ion baterii. certifikace zaručuje .","
1 990 Kč"
